post_id	date	num_likes	num_angry	num_shares
96033897836_10158944569272837	2019-03-16T21:15:50+0000	15515	10	344
96033897836_10158937268622837	2019-03-13T22:09:50+0000	2606	6	120
96033897836_10158899426707837	2019-02-27T13:04:22+0000	7960	2	201
96033897836_10158806072577837	2019-01-25T23:02:43+0000	1046	1	27
96033897836_10158590520182837	2018-11-09T00:21:08+0000	3485	3	108
96033897836_10158561677027837	2018-10-30T01:28:15+0000	14222	638	5174
96033897836_10158558725992837	2018-10-29T00:56:57+0000	10482	18	1031
96033897836_10158506125162837	2018-10-10T20:33:56+0000	2112	251	193
96033897836_10158499514447837	2018-10-08T15:25:15+0000	7401	19	402
96033897836_10158493056542837	2018-10-07T00:00:01+0000	1935	20	383
96033897836_10158493148807837	2018-10-06T22:00:01+0000	1979	25	659
96033897836_10158493633712837	2018-10-06T20:02:45+0000	3130	96	903
96033897836_2117760365151531	2018-10-06T19:00:57+0000	1858	77	709
96033897836_10158492870367837	2018-10-06T16:00:01+0000	2304	8	463
96033897836_10158490587077837	2018-10-06T13:00:00+0000	1038	2	278
96033897836_10158490770557837	2018-10-05T23:59:28+0000	785	6	185
96033897836_10158490733902837	2018-10-05T23:28:54+0000	1177	7	247
96033897836_10158490236057837	2018-10-05T20:55:21+0000	1032	3	264
96033897836_10158489395027837	2018-10-05T18:00:00+0000	991	3	310
96033897836_10158489561707837	2018-10-05T16:29:13+0000	1094	2	149
96033897836_10158487556837837	2018-10-05T14:48:30+0000	931	2	275
96033897836_348307899248806	2018-10-05T12:55:57+0000	1283	3	446
96033897836_303848630206654	2018-10-05T03:18:42+0000	1555	12	616
96033897836_270178200498898	2018-10-05T02:41:01+0000	591	14	172
96033897836_10158488034022837	2018-10-05T02:25:37+0000	1511	9	386
96033897836_340727059823096	2018-10-05T02:17:43+0000	906	6	350
96033897836_10158487986612837	2018-10-05T02:08:21+0000	1330	6	343
96033897836_2185666738387824	2018-10-05T01:43:50+0000	920	5	344
96033897836_10158487899467837	2018-10-05T01:31:30+0000	1219	6	303
96033897836_10158487202447837	2018-10-04T22:00:00+0000	830	36	388
