post_id	date	num_likes	num_angry	num_shares
353551475083023_1102582970179866	2020-09-30T21:38:26+0000	1090	1	153
353551475083023_1102432626861567	2020-09-30T17:01:16+0000	5989	6	554
353551475083023_1102325700205593	2020-09-30T14:17:43+0000	4833	25	686
353551475083023_1101625480275615	2020-09-29T19:54:37+0000	4754	186	665
353551475083023_1101582766946553	2020-09-29T18:53:10+0000	5132	106	666
353551475083023_1101535920284571	2020-09-29T17:36:56+0000	6246	4	628
353551475083023_1101474356957394	2020-09-29T16:01:50+0000	7356	830	759
353551475083023_1101324620305701	2020-09-29T12:17:52+0000	6183	3	636
353551475083023_1100878640350299	2020-09-28T21:06:39+0000	815	1	69
353551475083023_1100824737022356	2020-09-28T19:24:42+0000	2743	1129	513
353551475083023_1100784040359759	2020-09-28T18:21:07+0000	2651	296	644
353551475083023_1100635540374609	2020-09-28T14:24:15+0000	3531	544	683
353551475083023_1100567787048051	2020-09-28T12:44:11+0000	5215	58	109
353551475083023_1100120790426084	2020-09-27T21:10:48+0000	4662	16	371
353551475083023_1100045103766986	2020-09-27T18:58:37+0000	6029	101	597
353551475083023_1099978560440307	2020-09-27T17:11:48+0000	3222	17	291
353551475083023_1099273413844155	2020-09-27T00:02:20+0000	7994	806	1427
353551475083023_1099089067195923	2020-09-26T18:52:54+0000	2485	7	265
353551475083023_1098944467210383	2020-09-26T17:21:20+0000	2375	26	493
353551475083023_1098935377211292	2020-09-26T14:45:37+0000	2264	0	304
353551475083023_1098218937282936	2020-09-25T15:39:07+0000	8916	197	1467
353551475083023_1097481267356703	2020-09-24T20:08:06+0000	12679	25	1318
353551475083023_1097459497358880	2020-09-24T19:30:43+0000	10459	14	825
353551475083023_1097302704041226	2020-09-24T15:11:33+0000	4028	33	411
353551475083023_1096618160776347	2020-09-23T17:32:27+0000	5719	11	800
353551475083023_1096436807461149	2020-09-23T13:46:43+0000	5726	633	1118
353551475083023_1095732930864870	2020-09-22T18:19:26+0000	32500	1878	7639
353551475083023_1095585987546231	2020-09-22T14:50:18+0000	10298	9	2127
353551475083023_1094994864272010	2020-09-21T20:58:58+0000	10398	1215	1632
353551475083023_1094884714283025	2020-09-21T17:31:40+0000	2524	573	391
353551475083023_1094739974297499	2020-09-21T13:52:41+0000	10641	63	1254
353551475083023_1094687397636090	2020-09-21T12:27:03+0000	3382	666	1029
353551475083023_1094258304345666	2020-09-20T21:54:05+0000	7013	4427	3613
353551475083023_1094087801029383	2020-09-20T16:24:20+0000	648	11	45
353551475083023_1093273717777458	2020-09-19T15:01:21+0000	4390	16	333
353551475083023_1093215267783303	2020-09-19T13:36:24+0000	1780	15	236
353551475083023_1092692977835532	2020-09-18T22:09:31+0000	4396	132	205
353551475083023_1092596307845199	2020-09-18T19:21:36+0000	3498	80	311
353551475083023_1092468964524600	2020-09-18T15:50:45+0000	2398	5	214
353551475083023_1092432147861615	2020-09-18T14:54:19+0000	3281	51	667
353551475083023_1091946554576841	2020-09-17T23:57:46+0000	1929	2	173
353551475083023_1091798614591635	2020-09-17T19:15:56+0000	6927	319	1309
353551475083023_1091641111274052	2020-09-17T14:54:04+0000	9392	32	850
353551475083023_1091102001327963	2020-09-16T23:11:54+0000	4429	36	839
353551475083023_1090813564690140	2020-09-16T14:57:31+0000	2598	446	387
353551475083023_1090780251360138	2020-09-16T14:03:45+0000	2554	1	214
353551475083023_1090286391409524	2020-09-15T23:28:20+0000	4114	96	507
353551475083023_1090179631420200	2020-09-15T19:51:06+0000	6162	5	491
353551475083023_1090074101430753	2020-09-15T16:46:26+0000	5295	3	371
353551475083023_1089428141495349	2020-09-14T23:46:22+0000	6141	130	701
