post_id	date	num_likes	num_angry	num_shares
1216504185136925_2759520277501967	2020-02-29T11:01:03+0000	4685	31	1714
1216504185136925_2758458894274772	2020-02-28T22:05:29+0000	5577	16	348
1216504185136925_2758075524313109	2020-02-28T17:58:43+0000	5652	67	3408
1216504185136925_2757365104384151	2020-02-28T12:01:51+0000	5413	37	1237
1216504185136925_2755088177945177	2020-02-27T10:42:33+0000	3594	793	2996
1216504185136925_2494345274213192	2020-02-26T14:58:01+0000	12518	2007	8258
1216504185136925_2753067298147265	2020-02-26T13:10:43+0000	4019	6	178
1216504185136925_2752756968178298	2020-02-26T09:40:57+0000	6150	19	1044
1216504185136925_2752756394845022	2020-02-26T09:40:22+0000	3575	11	573
1216504185136925_2752002074920454	2020-02-25T23:59:03+0000	11512	35	2346
1216504185136925_2751143205006341	2020-02-25T14:12:06+0000	2336	1	362
1216504185136925_2749777461809582	2020-02-24T21:29:05+0000	3694	924	2323
1216504185136925_2747437725376889	2020-02-23T17:45:47+0000	8579	101	1265
1216504185136925_2745072225613439	2020-02-22T14:45:32+0000	2802	2	409
1216504185136925_2744749732312355	2020-02-22T11:33:29+0000	1046	2	98
1216504185136925_2743543832432945	2020-02-21T20:02:26+0000	823	2	73
1216504185136925_2741505862636742	2020-02-20T22:16:56+0000	3053	100	900
1216504185136925_2741081006012561	2020-02-20T18:27:11+0000	21527	623	24540
1216504185136925_2740839766036685	2020-02-20T16:27:14+0000	3522	565	819
1216504185136925_2740797139374281	2020-02-20T16:08:27+0000	16045	10	877
1216504185136925_2739350892852239	2020-02-19T23:29:29+0000	9361	105	1130
1216504185136925_2739347386185923	2020-02-19T23:27:09+0000	3526	17	561
1216504185136925_2739176486203013	2020-02-19T21:35:55+0000	15260	528	2266
1216504185136925_2738854796235182	2020-02-19T18:06:45+0000	1645	0	252
1216504185136925_2736601853127143	2020-02-18T16:28:49+0000	6155	6	1352
1216504185136925_2736283553158973	2020-02-18T13:39:36+0000	3886	905	662
1216504185136925_2736277779826217	2020-02-18T13:36:17+0000	1885	1	375
1216504185136925_2735197386600923	2020-02-18T00:46:56+0000	1988	4	364
1216504185136925_2735084316612230	2020-02-17T23:16:43+0000	643	1	54
1216504185136925_2734475723339756	2020-02-17T16:09:01+0000	1151	26	229
1216504185136925_2731912673596061	2020-02-16T13:52:09+0000	2837	3	1362
1216504185136925_2729645477156114	2020-02-15T12:04:50+0000	4803	4	2500
1216504185136925_2729643610489634	2020-02-15T12:03:25+0000	871	2	26
1216504185136925_2727344294052899	2020-02-14T10:41:00+0000	5556	2	62
1216504185136925_2725359510918044	2020-02-13T13:33:25+0000	515	0	55
1216504185136925_2724355387685123	2020-02-13T01:10:42+0000	4467	19	1343
1216504185136925_2724165467704115	2020-02-12T22:47:33+0000	1320	0	126
1216504185136925_2723300841123911	2020-02-12T13:24:15+0000	3843	4	1867
1216504185136925_2722258584561470	2020-02-12T00:31:53+0000	4962	27	1759
1216504185136925_2722127874574541	2020-02-11T22:59:33+0000	549	0	33
1216504185136925_2722056717914990	2020-02-11T22:04:26+0000	329	0	29
1216504185136925_2721616611292334	2020-02-11T16:59:13+0000	956	1	79
1216504185136925_2720037801450215	2020-02-10T22:30:13+0000	1806	0	190
1216504185136925_2718115041642491	2020-02-09T23:52:53+0000	1554	2	86
1216504185136925_2718104301643565	2020-02-09T23:44:50+0000	3445	11	500
1216504185136925_2715855171868478	2020-02-08T21:41:14+0000	6678	9	156
1216504185136925_2715125085274820	2020-02-08T14:06:44+0000	3849	25	454
1216504185136925_2713495185437810	2020-02-07T18:20:38+0000	2637	2	1166
1216504185136925_2711370338983628	2020-02-06T18:32:22+0000	1498	10	101
1216504185136925_2711323292321666	2020-02-06T18:00:37+0000	2472	111	1294
1216504185136925_2711321865655142	2020-02-06T17:59:37+0000	533	0	30
1216504185136925_2710867175700611	2020-02-06T13:28:53+0000	1062	1	63
1216504185136925_2709355872518408	2020-02-05T18:20:13+0000	1352	30	330
1216504185136925_2708795695907759	2020-02-05T13:20:06+0000	2189	1	451
1216504185136925_2705461009574561	2020-02-03T22:30:44+0000	5066	3	450
1216504185136925_2705085242945471	2020-02-03T17:57:58+0000	1599	2	52
1216504185136925_2703083083145687	2020-02-02T17:34:48+0000	3185	350	686
1216504185136925_2702837009836961	2020-02-02T15:04:50+0000	708	0	90
1216504185136925_2701147883339207	2020-02-01T18:29:00+0000	1932	262	394
1216504185136925_2699517366835592	2020-01-31T23:17:49+0000	247	0	15
1216504185136925_2699087733545222	2020-01-31T18:51:14+0000	2079	550	1768
1216504185136925_2697597957027533	2020-01-31T00:28:52+0000	1095	0	46
1216504185136925_2697321333721862	2020-01-30T20:45:11+0000	753	0	92
1216504185136925_2696723057115023	2020-01-30T14:08:16+0000	496	0	38
1216504185136925_2696720570448605	2020-01-30T14:06:46+0000	880	1	401
1216504185136925_2695714870549175	2020-01-30T01:13:14+0000	3178	489	746
1216504185136925_2683290688458260	2020-01-23T15:31:20+0000	241	0	12
1216504185136925_2683184828468846	2020-01-23T14:27:24+0000	5908	1	267
1216504185136925_2681459791974683	2020-01-22T16:50:21+0000	889	0	98
1216504185136925_2679574618829867	2020-01-21T16:45:06+0000	4750	1084	1163
1216504185136925_2671551726298823	2020-01-17T13:44:54+0000	9056	2053	2481
1216504185136925_2670070629780266	2020-01-16T19:23:45+0000	1462	30	186
1216504185136925_2669120929875236	2020-01-16T10:16:48+0000	2328	4	230
1216504185136925_2663805217073474	2020-01-13T20:59:02+0000	3371	5	991
1216504185136925_2646906055430057	2020-01-05T23:09:00+0000	4850	1	858
1216504185136925_2641691112618218	2020-01-03T14:34:39+0000	7996	16	2995
1216504185136925_2638147112972618	2020-01-01T21:14:46+0000	10546	7	161
1216504185136925_2638142499639746	2020-01-01T21:11:32+0000	4742	3	316
1216504185136925_2635590003228329	2019-12-31T20:12:05+0000	8676	8	1816
1216504185136925_2625924620861534	2019-12-27T10:31:37+0000	1410	1	25
1216504185136925_2624542570999739	2019-12-26T17:39:20+0000	5327	40	537
1216504185136925_2612283588892304	2019-12-21T00:02:49+0000	2741	480	844
1216504185136925_2611247205662609	2019-12-20T12:37:16+0000	1094	1	261
1216504185136925_2603412966446033	2019-12-16T16:09:52+0000	492	0	49
1216504185136925_645334809334395	2019-12-12T15:20:44+0000	983	2	220
1216504185136925_2594580457329284	2019-12-12T10:58:37+0000	2054	2	394
1216504185136925_2590945444359452	2019-12-10T16:26:49+0000	921	0	79
1216504185136925_2590786444375352	2019-12-10T15:07:19+0000	610	4	23
1216504185136925_2590513681069295	2019-12-10T12:45:04+0000	430	1	42
