post_id	date	message	num_likes	num_angry	num_shares
96033897836_10158944569272837	2019-03-16T21:15:50+0000	"Hoje Lu e eu comemoramos 40 anos de casados, ainda mais apaixonado.  Uma fam\u00edlia linda, com Sophia, Geraldo, Thomaz e netos\ud83d\ude4f\ud83c\udffc"	15515	10	344
96033897836_10158937268622837	2019-03-13T22:09:50+0000	"Alunos e funcion\u00e1rios fuzilados em uma escola p\u00fablica na din\u00e2mica cidade de Suzano.\n\n\u00c9 um ato covarde, est\u00fapido, brutal. Uma tristeza imensa, sem explica\u00e7\u00e3o, sem o m\u00ednimo sentido.\n\nNeste momento em que a raz\u00e3o tamb\u00e9m parece ser v\u00edtima da chacina, s\u00f3 nos resta tentar transmitir consolo e solidariedade a quem foi atingido mais de perto por esta trag\u00e9dia que abalou todo o Estado de S\u00e3o Paulo e o Brasil.\nEmbora enlutados, temos de procurar fazer o m\u00e1ximo para que o amor e a f\u00e9 possam sobreviver neste mundo que parece naufragar em um mar de barb\u00e1rie.\n\nA f\u00e9 e a esperan\u00e7a v\u00e3o aplacar a nossa dor."	2606	6	120
96033897836_10158899426707837	2019-02-27T13:04:22+0000	"Nasceu Mateo, terceiro filho da Sophia e do Mario, herdou a beleza da m\u00e3e e da av\u00f3."	7960	2	201
96033897836_10158806072577837	2019-01-25T23:02:43+0000	"Minha solidariedade com as fam\u00edlias e com o povo mineiro; nosso pensamento e ora\u00e7\u00f5es para as v\u00edtimas atingidas pela triste trag\u00e9dia de Brumadinho."	1046	1	27
96033897836_10158590520182837	2018-11-09T00:21:08+0000	"Celebrando a vida com a fam\u00edlia.\nAgrade\u00e7o a todos que me felicitaram pelo anivers\u00e1rio \ud83c\udf82\ud83d\ude4f\ud83c\udffc"	3485	3	108
96033897836_10158561677027837	2018-10-30T01:28:15+0000	"Come\u00e7ou mal. A defesa da liberdade ficou no discurso de ontem. Os ataques feitos hoje pelo futuro presidente \u00e0 Folha de S\u00e3o Paulo representam um acinte a toda a Imprensa e a amea\u00e7a de cooptar ve\u00edculos de comunica\u00e7\u00e3o pela oferta de dinheiro p\u00fablico \u00e9 uma ofensa \u00e0 moralidade e ao jornalismo nacional. \u00c9 pretender substituir a liberdade de Imprensa pelo clientelismo de Imprensa. Alguns fazem cr\u00edticas aos seus cr\u00edticos porque n\u00e3o conhecem seus pr\u00f3prios limites. O futuro Presidente vai ter de conviver e de respeitar todos e, em especial, os que a ele dirijam cr\u00edticas."	14222	638	5174
96033897836_10158558725992837	2018-10-29T00:56:57+0000	"\u00c9 hora de felicitar todos os eleitos e o fa\u00e7o na pessoa do presidente escolhido hoje. Que seja portador de decis\u00f5es que honrem os deveres do elevado cargo que agora assume.\nA vida democr\u00e1tica se materializou hoje e elegeu homens e mulheres que haver\u00e3o de conduzir o Brasil a dias melhores.\nAssocio-me a todos os brasileiros na esperan\u00e7a de que a decis\u00e3o soberana das urnas seja o in\u00edcio de um per\u00edodo de respeito aos valores supremos da nossa Constitui\u00e7\u00e3o e de renova\u00e7\u00e3o do compromisso fundamental de constru\u00e7\u00e3o de uma sociedade mais livre, justa e solid\u00e1ria.\n\nQuero cumprimentar, especialmente, os valorosos companheiros Jo\u00e3o Doria, Eduardo Leite, Reinaldo Azambuja, Ant\u00f4nio Anastasia, Expedito J\u00fanior e Jos\u00e9 de Anchieta por terem-se empenhado nesta leg\u00edtima luta em benef\u00edcio de seus respectivos estados e pelo engrandecimento do PSDB e da democracia.\nAs urnas externaram o desejo sincero do povo por mudan\u00e7as, pois que todos n\u00f3s sejamos capazes de bem compreender essa mensagem para conduzirmos a pol\u00edtica partid\u00e1ria a um novo patamar, de respeito e participa\u00e7\u00e3o de outros brasileiros. A democracia se fortalece a cada voto e em todas as elei\u00e7\u00f5es.\nFelicidade para o povo brasileiro!"	10482	18	1031
96033897836_10158506125162837	2018-10-10T20:33:56+0000	"Ouvimos ontem todo o partido e decidimos liberar os militantes e l\u00edderes tucanos para que decidam de acordo com a sua consci\u00eancia, convic\u00e7\u00e3o e realidades estaduais. N\u00e3o apoiaremos nem Haddad, nem Bolsonaro. Apoiaremos sempre o Brasil."	2112	251	193
96033897836_10158499514447837	2018-10-08T15:25:15+0000	"Obrigado a todos que acreditaram em nosso projeto e depositaram nas urnas a esperan\u00e7a e a confian\u00e7a de um pa\u00eds melhor. Foram mais de 5 milh\u00f5es de votos. \n\nNosso mais absoluto respeito \u00e0s urnas, ao resultado das urnas, e \u00e0 manifesta\u00e7\u00e3o dos eleitores.\n\nPercorremos o Brasil inteiro ouvindo e dialogando com a popula\u00e7\u00e3o e as suas mais distintas realidades, portanto, cada voto recebido tem uma responsabilidade, um valor e um carinho enorme.\n\nObrigado pela confian\u00e7a e o respeito de cada um de voc\u00eas. Estamos juntos!"	7401	19	402
96033897836_10158493056542837	2018-10-07T00:00:01+0000	"Domingo voc\u00ea vai escolher muito mais do que um presidente. O seu voto ajudar\u00e1 a decidir os rumos do nosso pa\u00eds, da sua vida e das pessoas que t\u00eam um lugar reservado no seu cora\u00e7\u00e3o, pelos pr\u00f3ximos anos. Neste momento t\u00e3o importante e decisivo para todos n\u00f3s, Geraldo Alckmin tem um recado para voc\u00ea.\n\n#EquipeGA #GeraldoPresidente #AnaAm\u00e9liaVice #Vote45"	1935	20	383
