post_id	date	message	num_likes	num_angry	num_shares
353551475083023_1102582970179866	2020-09-30T21:38:26+0000	"seul e a capital da coreia do sul e uma das maiores cidades do mundo, com alto indice de desenvolvimento e qualidade de vida. apesar disso, ate 2014, a cidade enfrentava um problema frequente com o acumulo de lixo nas ruas.  mesmo com quatro a cinco coletas diarias de lixo, as lixeiras da cidade continuavam transbordando. a populacao tinha que lidar com a sujeira que se acumulava nas ruas.  os responsaveis pela coleta, usando os modelos tradicionais, nao sabiam com precisao o quao cheias as lixeiras estavam nem a velocidade com que isso acontecia ao longo do dia. para melhorar a eficiencia do sistema, o governo de seul contatou uma startup de tecnologia.  em 2014, seul decidiu instalar lixeiras inteligentes   em areas especialmente populosas no centro da cidade.  alem de reduzir os custos de coleta, o objetivo era melhorar a paisagem urbana, tornando as ruas mais limpas.  foi criado um sistema para monitorar a distancia como estava a capacidade das lixeiras inteligentes e determinar a melhor hora para realizar a coleta  com mais dados, as coletas passaram a ser feitas de forma mais organizada e eficiente, aproveitando ao maximo a capacidade das lixeiras sem deixar que o lixo comecasse a se empilhar.  pouco tempo depois da instalacao das lixeiras inteligentes, o transbordamento foi eliminado e houve uma reducao significativa de lixo nas ruas. o projeto deu certo e foi ampliado para outras areas da cidade.  resultados em numeros:   eliminacao do transbordamento das lixeiras  reducao de 66% na frequencia de coleta  custos de coleta reduzidos em 83%  aumento da quantidade de lixo enviado para reciclagem em 46%  o exemplo de seul nos mostra que e possivel integrar a tecnologia para criar cidades mais inteligentes de forma simples e eficiente, melhorando a qualidade dos servicos publicos com menor custo e maior qualidade de vida para o cidadao.  para mais conteudos como esse, visite o #novoexplica    https://novo.org.br/acompanhe/novo-explica/"	1090	1	153
353551475083023_1102432626861567	2020-09-30T17:01:16+0000	""	5989	6	554
353551475083023_1102325700205593	2020-09-30T14:17:43+0000	""	4833	25	686
353551475083023_1101625480275615	2020-09-29T19:54:37+0000	""	4754	186	665
353551475083023_1101582766946553	2020-09-29T18:53:10+0000	"o brasil precisa enfrentar os privilegios dos grupos de interesse para se transformar em um pais com mais oportunidades."	5132	106	666
353551475083023_1101535920284571	2020-09-29T17:36:56+0000	"parabens janaina lima!  esse e o modelo de representante que precisamos na politica. espero que a sua atitude seja um exemplo para todos os politicos que tentarao a reeleicao.  https://www.oantagonista.com/brasil/vereadora-do-novo-abre-mao-de-salario-durante-campanha-por-reeleicao/"	6246	4	628
353551475083023_1101474356957394	2020-09-29T16:01:50+0000	""	7356	830	759
353551475083023_1101324620305701	2020-09-29T12:17:52+0000	""	6183	3	636
353551475083023_1100878640350299	2020-09-28T21:06:39+0000	"o candidato a prefeitura de curitiba pelo novo, dr. joao guilherme moraes, pode ser a grande surpresa da eleicao e ir para o segundo turno, segundo o cientista politico murilo hidalgo, diretor do instituto parana pesquisas!  compartilhe, conheca os outros candidatos em candidatos.novo.org.br e vote 30!"	815	1	69
353551475083023_1100824737022356	2020-09-28T19:24:42+0000	"a pauta que o brasil precisa para gerar emprego e renda esta sendo abandonada em favor da agenda de curto prazo de reeleicao do presidente."	2743	1129	513
353551475083023_1100784040359759	2020-09-28T18:21:07+0000	"\"e uma maneira esperta de se endividar: contrata despesa e aumenta a divida sem dizer que ela esta aumentando. e a agenda do brasil velho, a politica economica da malandragem. sinal de que o governo nao quer enfrentar os problemas. espero que seja so um balao de ensaio\".   marcos lisboa sobre a proposta do governo federal de  financiar o renda cidada com um calote dos precatorios e dinheiro do fundeb."	2651	296	644
353551475083023_1100635540374609	2020-09-28T14:24:15+0000	"a culpa nao e do empregado do setor publico. e sim do modelo de estado brasileiro, que favorece o setor publico as custas do cidadao do setor privado.  por isso, a reforma administrativa e urgente."	3531	544	683
353551475083023_1100567787048051	2020-09-28T12:44:11+0000	"mostre para todo mundo que o novo conta com voce! atualize sua foto de perfil com o twibbon. basta acessar https://twibbon.com/support/conte-com-o-novo#"	5215	58	109
353551475083023_1100120790426084	2020-09-27T21:10:48+0000	"parabens para todos que sairam da indignacao para a acao e, em tao pouco tempo, fizerem o novo crescer tanto!  conheca os candidatos do novo em candidatos.novo.org.br e vote 30!"	4662	16	371
