post_id	date	message	num_likes	num_angry	num_shares
1216504185136925_2759520277501967	2020-02-29T11:01:03+0000	"\"Sem pol\u00edtica industrial e de com\u00e9rcio exterior, quebraremos de novo\". Assim escrevi aqui em nov/2019. Assim permanece. N\u00e3o \u00e9 coronav\u00edrus, \u00e9 falta de projeto, \u00e9 pol\u00edtica econ\u00f4mica que s\u00f3 privilegia os ricos. \u00c9 incompet\u00eancia e despreparo! \u00c9 o Brasil entregue ao financismo e ao anti-povo."	4685	31	1714
1216504185136925_2758458894274772	2020-02-28T22:05:29+0000	"Orgulhoso de meu governador Camilo Santana! \u00c9 assim que o poder democr\u00e1tico civil se imp\u00f5e ao fascismo e ao milicianismo bandido que , como minoria violenta , suja a boa imagem e o respeito que a pol\u00edcia deve merecer de nosso povo !"	5577	16	348
1216504185136925_2758075524313109	2020-02-28T17:58:43+0000	"Marque aquela pessoa que ainda tem simpatia por Bolsonaro, pe\u00e7a para assistir ao v\u00eddeo e pesquisar sobre esses dados. Vamos expor as mentiras de Bolsonaro e quem ele realmente \u00e9."	5652	67	3408
1216504185136925_2757365104384151	2020-02-28T12:01:51+0000	"Bolsonaro est\u00e1 mentindo para a popula\u00e7\u00e3o brasileira. Vamos defender a constitui\u00e7\u00e3o!"	5413	37	1237
1216504185136925_2755088177945177	2020-02-27T10:42:33+0000	"\u202aA maluquice consolidada. Sob aplauso da elite brasileira, este teto de gastos. impacta diretamente na vida do povo mais pobre. Assim ser\u00e1 tamb\u00e9m com educa\u00e7\u00e3o, seguran\u00e7a, etc. De fora apenas o setor financeiro, para poucas pessoas ficarem ainda mais ricas.\u202c"	3594	793	2996
1216504185136925_2494345274213192	2020-02-26T14:58:01+0000	"Live com Ciro Gomes"	12518	2007	8258
1216504185136925_2753067298147265	2020-02-26T13:10:43+0000	"Logo mais, 12h, farei uma r\u00e1pida live com voc\u00eas. Vamos falar sobre o momento que nosso pa\u00eds vive. Participe! Envie suas perguntas!"	4019	6	178
1216504185136925_2752756968178298	2020-02-26T09:40:57+0000	"\u201cBichos escrotos\u201d estes milicianos !"	6150	19	1044
1216504185136925_2752756394845022	2020-02-26T09:40:22+0000	"Tudo que fazem e falam se caracteriza por mentira e bandidagem!"	3575	11	573
1216504185136925_2752002074920454	2020-02-25T23:59:03+0000	"Acredito na seriedade da jornalista Vera Magalh\u00e3es. Se o pr\u00f3prio presidente da Rep\u00fablica convoca manifesta\u00e7\u00f5es contra o Congresso e o STF, n\u00e3o resta d\u00favida de que todos aqueles que prezam pela democracia devem reagir. \u00c9 criminoso excitar a popula\u00e7\u00e3o com mentiras contra as institui\u00e7\u00f5es democr\u00e1ticas e sem causa nenhuma, a n\u00e3o ser sua agenda anti-pobre, anti-produ\u00e7\u00e3o e entreguista de nossas riquezas aos estrangeiros. Vamos lutar pela preserva\u00e7\u00e3o da Constitui\u00e7\u00e3o e pelo Brasil! \nQue o Congresso, sob as lideran\u00e7as de Rodrigo Maia e Davi Alcolumbre, e o STF, com todos os Ministros, saibam reagir a essa amea\u00e7a."	11512	35	2346
