post_id	date	message	num_likes	num_angry	num_shares
126351747376464_2305277296150554	2018-12-31T18:31:49+0000	"ano que finda, ano que comeca. arendt disse muito bem que nos, seres humanos, ainda que morramos, nao fomos feitos para morrer mas para comecar.   2018 comecou de forma muito, muito triste para mim e minha familia, com a perda de nosso querido pai, o \"seu pedro\" - como todos o chamavam na rua palmeiral.   2019 comeca, para mim e minha familia, com uma alegre e grande chegada. matheus, meu primeiro neto, chegara em abril trazendo as alegrias do filho e do neto primogenito para seus pais felipe e shalon e seus avos eveline e ari, fabio e eu (que faco questao de anunciar previamente minha corujice).  espero em nosso bondoso deus que cada pessoa possa ter uma boa nova para dois mil e dezenove. que as dificuldades, inerentes a vida, nao sejam aquelas que nos fazem \"morrer de velhice antes dos trinta\", mas que possam ser superadas e combatidas. \"milagres acontecem, e so acreditar\". claro, nao com uma crenca ingenua e acomodada, que confunde o milagre feito pelo verbo que comanda a acao com as saidas magicas ilusorias. nao com a passiva tentacao de que as pedras sejam transformadas em paes. mas sim com a fe viva e ativa, que e parte do milagre.  que dois mil e dezenove seja o ano de acreditar e criar aquilo em que se acredita. que seja o ano de trabalhar duro para que a mentira, a violencia, a indiferenca, o preconceito, a pobreza de meios, almas e mentes, nao continuem fazendo fita. que seja o ano de comecarmos a combater isso de forma imbativelmente eficiente: dentro de mim, dentro de voce, onde quer que exista um coracao latente.  que o verbo divino comande nossas acoes. feliz 2019 para todos."	1004	1	111
126351747376464_2295093400502277	2018-12-24T19:41:28+0000	"o natal e uma convencao humana sobre o dia - que nao se conhece com exatidao - do nascimento do nosso amado emanuel, deus conosco. mas acredito que nada relacionado ao restaurador da alianca de deus com os homens e por acaso. assim, nao ter a data certa do dia do seu nascimento, e coerente com os misterios divinos.  afinal, nao e mesmo possivel datar o nascimento daquele que se dirigiu ao grande eu sou, o criador de todas as coisas, com intimidade, seguranca e conhecimento de causa, dizendo: \"agora pai glorifica-me junto a ti, com a gloria que eu tinha contigo antes que o mundo existisse\".  deixar essa existencia de plenitude e santidade para vir, na forma de uma fragil crianca, restaurar cada um de nos, e um presente eterno que nao se encerra numa data precisa em que podemos celebrar um aniversario. nas palavras do principe dos pregadores, c. h. spurgeon, esta e a doce razao par que \"curvemo-nos com reverencia diante do santo filho cuja inocencia restaura a humanidade sua gloria antiga, e oremos para que ele seja formado em nos, a esperanca da gloria\".  gosto de pensar que nao sabermos o dia exato em que jesus veio ao mundo para habitar entre nos, nao e uma perda factual, e um ganho proporcional a necessidade que temos de ve-lo nascer todos dias e para sempre em nossas vidas. por isso, neste e em todos os dias, feliz natal!"	772	0	245
126351747376464_2291895474155403	2018-12-22T17:23:35+0000	"a musica \"saga da amazonia\" falava a sensibilidade de chico como um lamento pela beleza das terras e gentes amazonidas e a injustica que feria ambas as coisas. hoje fazem 30 anos que ele foi morto por defender essa terra, suas florestas e suas gentes.   essa musica e uma homenagem ao seu legado de construcao de uma forma de luta pacifica, de busca de meios para defender os direitos dos povos da floresta e da propria floresta.  nessa homenagem tambem vai meu lamento pelo fato de que ainda temos mortes acontecendo como o recente assassinato de trabalhadores rurais na paraiba e continua necessario buscar justica agraria e divisao pacifica e sustentavel dos recursos naturais."	364	1	83
126351747376464_2287173517960932	2018-12-19T16:14:18+0000	"joenia wapichana e a primeira deputada federal indigena, eleita pela rede/rr. depois de mario juruna, que deixou o congresso em 1987, nenhuma outra lideranca indigena havia ocupado uma vaga no legislativo federal. joenia tambem foi a primeira mulher indigena a se formar em direito no brasil, em 1997, e a primeira a falar no plenario do stf, em 2008, na defesa da legalidade da homologacao continua da terra indigena raposa serra do sol, em roraima. ontem, ela recebeu o premio de direitos humanos das nacoes unidas, em nova york. uma conquista de enorme significado politico e simbolico para todos nos. joenia sera uma voz muito importante no congresso nacional para seguir sua luta em defesa dos povos indigenas e do desenvolvimento sustentavel. parabens, joenia!"	978	1	255
126351747376464_2285845191427098	2018-12-18T18:51:46+0000	"bolsonaro nao pode rever demarcacao de raposa, diz ayres britto - por bernardo mello franco   a demarcacao da terra indigena raposa serra do sol nao pode ser revista pelo proximo governo. e o que diz o ex-ministro carlos ayres britto, relator da acao julgada pelo supremo tribunal federal em 2009. \"a decisao transitou em julgado. foi uma decisao historica. para os indios, e direito adquirido\", afirma.  o presidente eleito jair bolsonaro confirmou ontem que prepara um decreto para rever a demarcacao. ele tem alegado razoes de soberania nacional e a presenca de riquezas minerais. para ayres britto, tudo isso ja foi \"exaustivamente\" tratado pelo supremo. a corte estabeleceu 19 salvaguardas antes de decidir a favor dos indios no conflito com os arrozeiros.  \"tivemos o cuidado de conciliar os interesses dos indios com os interesses nacionais. nao ha motivo para rever nada, nada, nada\", afirma o ex-ministro. \"as terras indigenas pertencem a uniao. qual e o perigo para a soberania nacional? nenhum\", sentencia.  as salvaguardas do supremo deixam claro que \"o usufruto dos indios nao alcanca a pesquisa e a lavra das riquezas minerais\" e que as forcas armadas nao precisam consultar os indios ou a funai para atuar na regiao.  \"ficam dizendo coisas imprecisas, e ate equivocadas, para projetar antipatia contra os indios\", diz ayres britto. \"depois que o estado paga uma divida historica, civilizatoria, ele nao pode mais estornar o pagamento e voltar a ser devedor\", acrescenta.  e preocupante, diz o ex-ministro, que \"muita gente ainda fale em aculturar os indios\". \"o indio nao deixa de ser indio porque usa uma calca jeans. a logica da constituicao nao foi substituir a cultura dos indios pela dos brancos. foi soma-las. quando a pessoa nao entende a logica da constituicao, fica dificil\", critica.  na semana passada, bolsonaro disse a deputados que nao demarcara \"um centimetro quadrado a mais de terra indigena\". \"os indios foram desalojados e usurpados. o que sobrou deles foi muito pouco, e mesmo assim nao conseguem ocupar suas terras\", afirma ayres britto. \"a sociedade brasileira e muito conservadora. persegue negros, mulheres, indios. nos conseguimos dar um passo a frente, e agora querem botar um pe atras\", lamenta."	1646	18	918
126351747376464_2285531898125094	2018-12-18T15:44:00+0000	"a luta de chico mendes seguira como um grande legado na resistencia aos retrocessos que tem sido anunciados, com um misto de deboche e orgulho, pelo novo governo."	1834	4	301
126351747376464_2284394391572178	2018-12-17T21:33:00+0000	"a 1a deputada federal indigena foi diplomada no congresso. um acontecimento historico. nesta semana, joenia wapichana, da rede, esta em nova york para receber o premio de direitos humanos das nacoes unidas de 2018. orgulho para todos nos!"	873	0	184
126351747376464_2284285064916444	2018-12-17T19:00:27+0000	"o presidente eleito consegue regredir ainda mais, alem da insensibilidade de \"nao demarcar mais nenhum centimetro de terra indigena\", agora quer cometer a atrocidade de rever raposa serra do sol, que foi consolidada por uma decisao do stf pela demarcacao continua da area."	1595	742	692
126351747376464_2283925914952359	2018-12-17T13:45:34+0000	"em suas \"lives\" nas redes sociais, bolsonaro da indicios de querer governar na base da conversa casual e desinformada. simula espontaneidade, mas segue um roteiro pre-definido para tirar o foco do que interessa. agora mesmo, falou varias barbaridades sobre os temas ambientais pra somente ao final comentar rapidamente os indicios de ilicitudes na movimentacao milionaria da conta do ex-assessor de seu filho deputado. fica parecendo que o combate energico a corrupcao expirou a validade em menos de um mes."	3939	66	685
126351747376464_2282667221744895	2018-12-16T17:30:00+0000	"sob a gestao do prefeito audifax barcelos, da rede sustentabilidade, o municipio de serra (es) foi reconhecido pelo ministerio da transparencia e controladoria-geral da uniao (cgu) como o ente da federacao mais transparente. em uma escala de 0 a 10, serra alcancou a nota 9.95!"	2315	1	526
